Url,Error Code,Comment,Parent Page
#main-content,0,unknown url type: ,
javascript:ASUHeader.toggleASU();,0,<urlopen error unknown url type: javascript>,
http://weblogin.asu.edu/cgi-bin/login,0,<urlopen error [Errno 10061] No connection could be made because the target machine actively refused it>,
/,0,unknown url type: /,
/asu-people,0,unknown url type: /asu-people,
/content/bulb-0,0,unknown url type: /content/bulb-0,
/content/fultongrad,0,unknown url type: /content/fultongrad,
http://www.thesundevils.com/,404,HTTP/URL Error,
http://www.thesundevils.com/main/Schedule.dbml?DB_LANG=C&DB_OEM_ID=30300,404,HTTP/URL Error,
http://www.thesundevils.com/ViewArticle.dbml?ATCLID=208252612&DB_OEM_ID=30300,404,HTTP/URL Error,
http://www.thesundevils.com/ViewArticle.dbml?ATCLID=208254939&DB_OEM_ID=30300,404,HTTP/URL Error,
http://www.sundevilclub.com/,404,HTTP/URL Error,
/profile-edit,0,unknown url type: /profile-edit,
/asu-people,0,unknown url type: /asu-people,
